,Turkana,Marsabit,Mandera,Wajir,West Pokot,Samburu,Isiolo,Baringo,Keiyo-Marakwet,Trans Nzoia,Bungoma,Garissa,Uasin Gishu,Kakamega,Laikipia,Busia,Meru,Nandi,Siaya,Nakuru,Vihiga,Nyandarua,Tharaka,Kericho,Kisumu,Nyeri,Tana River,Kitui,Kirinyaga,Embu,Homa Bay,Bomet,Nyamira,Narok,Kisii,Murang'a,Migori,Kiambu,Machakos,Kajiado,Nairobi,Makueni,Lamu,Kilifi,Taita Taveta,Kwale,Mombasa,Offshore
2013-01-01,2.9965253,3.8950117,6.0915637,4.776902,2.4150183,3.6678696,3.8930767,2.4899487,2.06252,1.9692326,1.5782075,3.753621,1.7268234,1.6418673,2.5316763,2.7340882,2.9805481,1.7040383,2.825369,2.000502,1.61146,1.9403341,2.7325397,2.0034368,1.7050921,1.9976201,3.2206812,3.145762,1.5268455,2.3283136,2.8052726,2.0228124,2.582913,2.0542843,2.9157512,2.0370574,2.9549105,2.1224499,2.5421877,1.8655233,2.5124683,2.384761,4.0354385,3.4535573,2.826592,3.8250632,5.101016,4.7118835
2013-01-02,2.9278688,3.5642657,7.4601703,5.2769322,2.2301664,3.4008338,3.4941113,2.3025184,1.7849038,2.4475477,2.276622,4.852577,2.1482697,2.4364781,2.5513082,2.6402953,3.255828,2.3715944,2.7493718,2.4290695,2.732378,2.6383998,3.3809416,2.5377657,2.6852725,2.7593718,4.3472357,3.5034392,2.3778296,3.0147235,2.4432962,2.1201143,2.3634129,2.1521258,2.1978345,2.5257008,2.262326,2.382262,3.1334443,2.2753608,2.770381,2.7453737,6.123332,4.6098375,3.1566446,4.596151,6.5989923,6.3002796
2013-01-03,4.216523,5.0701723,8.072244,6.634514,3.0192747,4.0805316,3.4411633,2.7441704,2.4271731,3.1078606,3.0128622,5.8187056,3.3411496,3.2354898,3.0284133,2.9500997,3.0569215,3.61085,3.306668,3.2731805,2.9445963,3.2155097,3.4125469,3.8161905,3.2626762,2.9641836,5.2197504,3.9051273,2.5594666,3.264058,3.4787197,3.4134018,3.7960548,3.0968983,3.7229943,2.753598,3.641705,3.057821,3.8394308,3.426823,3.7835236,3.636042,7.3924584,5.3370595,4.1282387,4.774348,6.6153755,7.42525
2013-01-04,4.481573,5.4110837,6.5468254,5.551257,3.0341425,4.0918236,3.2104542,2.5027168,1.9797474,1.6464914,1.3732518,4.750534,1.8131987,1.4385201,3.0675044,2.3622074,2.742321,1.9420755,2.6587074,1.9641817,1.5558808,2.1566384,2.9083986,2.1077952,1.6813127,2.2515936,4.3230624,3.3675718,1.9700385,2.7828615,1.8380048,1.48496,2.0597904,1.767009,1.8099675,2.323874,1.8534045,3.0345252,3.3027542,2.6919935,3.6972113,3.1655073,6.6142707,4.938317,3.771317,4.603389,6.4746428,6.5728245
2013-01-05,4.0470366,4.8885837,4.3407207,4.019763,2.9944744,4.4122834,3.97937,2.3496842,2.277416,2.0857449,2.1086354,3.483795,2.0942655,2.1441529,2.5787034,3.0858727,2.928817,2.083022,3.356199,1.8594711,2.6028683,2.1298993,2.5295014,1.9319539,2.3561068,2.2967021,3.2361033,2.9563005,1.9279499,2.5107496,2.7466054,1.1954256,2.11584,1.5048807,2.163664,2.1827703,2.9558153,2.6002486,2.9707868,2.3451452,3.0751567,2.5983531,4.811859,4.0879793,2.8729641,3.7052703,5.7167206,5.442173
2013-01-06,3.2388313,4.2640195,4.090604,4.144741,2.4217722,3.547765,3.5512106,2.7422535,2.270615,2.6907027,2.2257671,3.5098228,1.8002061,2.2886055,2.1520665,3.4412863,2.7119095,1.8047807,3.4479427,1.8778722,2.5714822,1.6441596,2.4893625,1.8361627,2.145549,1.6188785,3.0100627,2.5209918,1.6041754,2.434416,3.2930963,2.1016083,2.7780907,1.8277329,3.2314534,1.9098326,3.6566708,1.9171704,2.1263342,1.6367869,2.0807693,2.1701508,4.6980877,3.0369759,1.9810259,2.6691306,3.817732,4.362238
2013-01-07,2.6207561,4.6326914,4.373676,4.8179693,2.169532,3.6564603,3.9205701,2.836891,2.7187586,2.5740528,2.357069,3.8013237,2.4337323,2.030626,2.6311836,1.9356924,2.5092745,2.1122103,2.1292882,2.366803,1.7032139,2.4068446,1.898795,2.1380508,1.4770774,2.2558584,3.2452142,2.4336264,1.7813905,1.9078162,2.2978008,1.3218837,1.8857021,1.8949488,2.1589103,2.1849189,2.7995207,2.104475,2.2000158,1.9202136,2.3816779,2.2744334,5.0814548,3.588093,2.3632038,2.9051492,4.4785166,4.8162155
2013-01-08,2.930166,4.78533,5.4671354,5.646064,2.5408986,4.221915,4.6550097,2.3215575,2.2795854,1.8816622,1.6504472,4.5015955,2.2052698,1.7401613,3.003826,2.0641584,3.4767416,2.1693614,2.8181038,2.4898596,2.7434638,2.0920494,2.4867282,2.305052,2.3101122,1.8999792,3.7662318,3.1881063,2.2016065,2.3581803,2.352209,2.2008345,1.5287561,2.6676068,1.544849,3.0002544,2.8976686,3.7303884,3.4075716,3.0654,4.195751,3.532391,4.7787256,3.238042,2.665715,2.8572493,3.3199983,3.9862845
2013-01-09,2.7043092,3.108995,3.3000896,3.2112315,2.6242807,2.4772646,2.7169368,2.2574108,2.4464898,1.7577124,1.1414655,3.169922,1.695339,1.2558999,2.206839,2.119156,2.581762,1.666877,3.604592,2.1514912,2.4584112,1.7845743,2.3105872,1.8862871,2.3454683,1.6242746,3.0479717,2.8619773,2.3212745,2.7250214,2.9774792,1.4547248,2.438834,1.9827442,2.6154854,3.0832481,2.8925185,3.3698065,3.315785,2.799285,3.7006574,2.9425225,3.9720888,3.053754,2.7286632,2.6930094,3.3545928,3.4070628
2013-01-10,2.2073874,2.7664866,3.0217946,2.9736805,2.373543,2.3623786,2.319925,1.9596874,2.1398606,1.9894973,2.134106,3.4553618,2.2405074,2.455529,2.0792801,3.1714864,2.2941284,2.3427076,3.8555355,1.7753093,3.172576,1.5411537,2.005771,2.0766098,2.8463314,1.4623603,3.4098678,2.4897394,1.9901628,2.12714,3.5451202,1.5327748,2.422325,1.9414858,2.9274838,2.5011184,3.9390445,2.6948507,2.358031,2.2884781,3.0423017,2.7121806,4.6513886,3.4917274,2.308993,1.8700702,2.9397535,3.3990517
